frequency_cycles_per_sample,periodogram_db,capon_db,ar_db
0.009521484375,-20.876221333245418,-13.901204546079533,-19.887815381086295
0.009765625,-20.696877017520947,-13.895309542135937,-19.907524502211523
0.010009765625,-20.567578581870126,-13.889287268096114,-19.927302443042848
0.01025390625,-20.487670330807212,-13.883140213875922,-19.947125775409866
0.010498046875,-20.457179195223386,-13.876871022737078,-19.96697130655667
0.0107421875,-20.476731713793306,-13.870482495972276,-19.986816103489808
0.010986328125,-20.547508996753905,-13.863977597462833,-20.006637515611978
0.01123046875,-20.67122919043865,-13.857359458092333,-20.02641319567163
0.011474609375,-20.850147592029927,-13.850631379999427,-20.04612111906492
0.01171875,-21.087065977450116,-13.84379684065258,-20.06573960153226
0.011962890625,-21.385344407849757,-13.83685949672927,-20.085247315296712
0.01220703125,-21.748910146742638,-13.829823187781873,-20.104623303695757
0.012451171875,-22.182258545610086,-13.822691939672149,-20.12384699436175
0.0126953125,-22.69043870944251,-13.815469967756044,-20.142898211009204
0.012939453125,-23.279010632497304,-13.808161679800218,-20.161757183889772
0.01318359375,-23.953947097531625,-13.800771678611532,-20.1804045589775
0.013427734375,-24.721426923392066,-13.793304764360627,-20.19882140594848
0.013671875,-25.587414585566602,-13.785765936580399,-20.216989225019873
0.013916015625,-26.556823349465922,-13.778160395820247,-20.23488995271385
0.01416015625,-27.63187838830735,-13.77049354493684,-20.252505966611963
0.014404296875,-28.808986438308054,-13.762770990002105,-20.269820089165545
0.0146484375,-30.072987845176815,-13.754998540809176,-20.28681559062665
0.014892578125,-31.387475704963954,-13.747182210957256,-20.3034761911638
0.01513671875,-32.68151156208417,-13.739328217496293,-20.31978606222524
0.015380859375,-33.84040486126185,-13.731442980112812,-20.33572982721139
0.015625,-34.72223879701461,-13.723533119838384,-20.351292561516473
0.015869140625,-35.21890983234674,-13.715605457262738,-20.366459791997986
0.01611328125,-35.32312982128186,-13.707667010233857,-20.38121749593049
0.016357421875,-35.12196715153297,-13.699724991028075,-20.395552099498726
0.0166015625,-34.72421627141304,-13.691786802973809,-20.409450475882906
0.016845703125,-34.20358110880273,-13.683860036513328,-20.42289994298698
0.01708984375,-33.58918798455484,-13.675952464687864,-20.435888260858945
0.017333984375,-32.88247374288152,-13.668072038032332,-20.4484036288498
0.017578125,-32.07848555389007,-13.6602268788671,-20.460434682555977
0.017822265625,-31.180926450635763,-13.652425274975421,-20.47197049058798
0.01806640625,-30.20715633717088,-13.64467567265658,-20.483000551205727
0.018310546875,-29.184644451407568,-13.636986669146268,-20.49351478885947
0.0185546875,-28.143905141465485,-13.629367004397324,-20.503503550672733
0.018798828125,-27.112597234091993,-13.621825552215856,-20.512957602902233
0.01904296875,-26.112630705245977,-13.614371310749497,-20.521868127407465
0.019287109375,-25.159799538861765,-13.607013392326795,-20.530226718161266
0.01953125,-24.264737292224368,-13.599761012648745,-20.53802537783042
0.019775390625,-23.4342489893625,-13.592623479335925,-20.54525651445421
0.02001953125,-22.672531117005306,-13.585610179837053,-20.551912938246673
0.020263671875,-21.982116159432135,-13.578730568707407,-20.55798785854719
0.0205078125,-21.364539159507927,-13.571994154268207,-20.563474880942252
0.020751953125,-20.82078106007436,-13.565410484660847,-20.568368004579966
0.02099609375,-20.351551517065776,-13.558989133312789,-20.572661619697477
0.021240234375,-19.95746371158775,-13.55273968383486,-20.576350505380077
0.021484375,-19.639139627272517,-13.546671714372797,-20.57942982756966
0.021728515625,-19.39727147558254,-13.54079478143891,-20.58189513733884
0.02197265625,-19.232654566070984,-13.535118403252998,-20.583742369446124
0.022216796875,-19.14619841363369,-13.529652042624669,-20.584967841186135
0.0224609375,-19.13891504871276,-13.524405089412546,-20.585568251548068
0.022705078125,-19.211874670789875,-13.519386842598852,-20.58554068069446
0.02294921875,-19.366106601606976,-13.514606492021075,-20.58488258977142
0.023193359375,-19.602404417759377,-13.510073099805409,-20.58359182106036
0.0234375,-19.920962769406792,-13.505795581549634,-20.581666598480574
0.023681640625,-20.320722007513446,-13.501782687305933,-20.57910552845093
0.02392578125,-20.79821701244315,-13.498042982416882,-20.575907601118054
0.024169921875,-21.345619844973168,-13.494584828260258,-20.572072191957563
0.0244140625,-21.94757989498295,-13.491416362960859,-20.56759906375396
0.024658203125,-22.576595901320886,-13.488545482129393,-20.562488368963887
0.02490234375,-23.187532430711137,-13.485979819690561,-20.556740652466544
0.025146484375,-23.714393604514562,-13.483726728863985,-20.550356854704056
0.025390625,-24.0764097543402,-13.48179326336288,-20.543338315213763
0.025634765625,-24.200609484912135,-13.480186158876506,-20.535686776553206
0.02587890625,-24.054751047059902,-13.478911814902903,-20.527404388617608
0.026123046875,-23.665158646175435,-13.477976276998888,-20.51849371334862
0.0263671875,-23.101551465628756,-13.477385219514089,-20.508957729831735
0.026611328125,-22.44425400437144,-13.477143928875435,-20.498799839778748
0.02685546875,-21.760124115768665,-13.477257287487612,-20.488023873390155
0.027099609375,-21.09518865442173,-13.477729758313776,-20.47663409559106
0.02734375,-20.47734754931017,-13.478565370199213,-20.464635212632686
0.027587890625,-19.921783238098808,-13.47976770399853,-20.45203237904986
0.02783203125,-19.43563860810454,-13.481339879564558,-20.438831204963208
0.028076171875,-19.021203585512826,-13.483284543654378,-20.42503776371307
0.0283203125,-18.67783726083875,-13.485603858804565,-20.410658599809906
0.028564453125,-18.40302321021656,-13.488299493224329,-20.395700737184104
